DHSID_EA,women_edu
LB-2007-5#-00000179,4.081632653061225
LB-2013-6Z-00000014,5.32
LB-2013-6Z-00000040,4.190476190476191
LB-2016-7#-00000019,2.4347826086956523
LB-2019-7Z-00000146,4.666666666666667
LB-2013-6Z-00000127,4.862068965517241
LB-2019-7Z-00000267,9.030303030303031
LB-2016-7#-00000089,6.575757575757576
LB-2013-6Z-00000216,6.463414634146342
LB-2016-7#-00000095,11.166666666666666
LB-2007-5#-00000062,4.45
LB-2019-7Z-00000309,5.24
LB-2007-5#-00000061,6.62962962962963
LB-2007-5#-00000224,6.428571428571429
LB-2019-7Z-00000254,7.0
LB-2007-5#-00000293,4.5
