DHSID_EA,asset_index
CO-2010-6#-00003788,2.759168347427781
CO-2010-6#-00004868,2.632281882303676
CO-2010-6#-00004270,0.9315520821733568
CO-2010-6#-00000095,-2.63771859334021
CO-2010-6#-00003867,2.5669627372829447
CO-2010-6#-00001147,1.3348823136181016
CO-2010-6#-00003633,1.227407014840653
CO-2010-6#-00001916,2.904573162722648
CO-2010-6#-00002001,1.2355788283406202
CO-2010-6#-00004360,0.5226975769451807
CO-2010-6#-00002190,2.911928701872701
CO-2010-6#-00004723,2.6915200580007883
CO-2010-6#-00001513,2.8383271511098247
CO-2010-6#-00004742,3.029934480712844
CO-2010-6#-00000076,2.3202075509700806
CO-2010-6#-00004148,0.6984393388623398
CO-2010-6#-00001883,2.862549034554475
CO-2010-6#-00001557,2.9623180637103106
CO-2010-6#-00002126,2.869369239790333
CO-2010-6#-00001817,2.8239861573132807
CO-2010-6#-00004865,2.785959656547136
CO-2010-6#-00002584,2.960788652453087
CO-2010-6#-00003528,0.7889531325852799
CO-2010-6#-00004234,2.0612760647356287
CO-2010-6#-00000653,2.755205154809714
CO-2010-6#-00001022,2.7975976992465674
CO-2010-6#-00001886,2.820672356659524
CO-2010-6#-00000269,2.791754712584705
CO-2010-6#-00004393,1.545152758183139
CO-2010-6#-00001105,2.808496385155941
CO-2010-6#-00004897,3.008028982529414
CO-2010-6#-00004601,2.816867092938342
CO-2010-6#-00004648,3.111228619627442
CO-2010-6#-00003593,2.91905264376258
CO-2010-6#-00002941,2.1669360910638287
CO-2010-6#-00004807,2.7334660696710014
CO-2010-6#-00004634,2.9741618314276765
CO-2010-6#-00004810,2.9855533993172507
CO-2010-6#-00004667,1.1576186899257896
CO-2010-6#-00004931,2.763735865757676
CO-2010-6#-00004849,2.902861300165882
CO-2010-6#-00001788,0.5635550857135111
CO-2010-6#-00004070,1.0036043556287433
CO-2010-6#-00002688,2.689884106120007
CO-2010-6#-00003785,2.7317209738165262
CO-2010-6#-00004110,2.774052131969771
CO-2010-6#-00004102,2.290807060518133
CO-2010-6#-00004646,3.097929881424732
CO-2010-6#-00004760,2.925359482551892
CO-2010-6#-00004816,2.747011486190521
CO-2010-6#-00003628,0.963568688111798
CO-2010-6#-00003054,0.6174419835230448
CO-2010-6#-00004503,-0.1325426992884853
CO-2010-6#-00001146,2.3470784648996053
CO-2010-6#-00001311,2.136787453199707
CO-2010-6#-00002922,1.4450062378140278
CO-2010-6#-00001251,2.8261291904425923
CO-2010-6#-00002122,2.378194294333964
CO-2010-6#-00002031,2.7147260078955777
CO-2010-6#-00001149,-0.4659550666687961
CO-2010-6#-00002841,2.7157306211721246
CO-2010-6#-00004937,2.8996557823746434
CO-2010-6#-00003815,2.7487152339702914
CO-2010-6#-00002078,2.5153370152419967
CO-2010-6#-00004802,2.857731844898725
CO-2010-6#-00000646,1.6835535218290558
CO-2010-6#-00000648,2.32130478867446
CO-2010-6#-00004069,-0.0903971184822356
CO-2010-6#-00000678,2.19241080886184
CO-2010-6#-00003645,1.0343260542828765
CO-2010-6#-00000429,2.8367833603746826
CO-2010-6#-00002349,3.002227560566774
CO-2010-6#-00004108,0.1750845381357276
CO-2010-6#-00002385,2.9827546683079955
CO-2010-6#-00000644,2.756496916527196
CO-2010-6#-00002004,2.661621822365354
CO-2010-6#-00001820,2.805498997086492
CO-2010-6#-00000387,2.8081048010175698
CO-2010-6#-00001537,2.7585249456998806
CO-2010-6#-00000074,2.4054555146195686
CO-2010-6#-00003799,-1.1438613312078862
