DHSID_EA,clean_sentences,most_relevant_sentences
UG-2006-5#-00000011,"['Kako Senior Secondary School (Kako SSS), is a government aided, mixed boarding middle and high school (grades 8 - 13) in Uganda', '  Location The school campus is situated on Kako Hill, approximately , by road, east of Masaka, off the road to Bukakata, on the northeastern shores of Lake Victoria, the second-largest flesh-water lake in the world', ' Kako lies approximately , southwest of Kampala, the capital of Uganda and the largest city in that country', "" The coordinates of Kako Senior Secondary School are:0°18'19"", '0""S, 31°48\'26', '0""E (Latitude:-0', '305278; Longitude:31', '807222)', '  History The school was founded by several individuals in the Anglican Church in what was then West Buganda Diocese, in 1963', ' These included the following:   The late Tomasi Ssemukasa, who at that time, was the Sub-county Chief of Mukungwe subcounty, donated land, to which others and the Anglican Church added to accommodate the current school campus', ' The first headmaster was Mesusera Kayongo, one of the founders', '  Academics Kako Senior Secondary School teaches the subjects commonly taught at O-Level and A-Level', ' In addition, the school teaches practical vocational subjects including (a) computer science (b) metal work (c) wood work (d) carpentry and (e) food & nutrition', ' At A-Level, both Science and Art subjects are offered', '  Prominent alumni The following prominent people attended Kako Senior Secondary School:  Salim Saleh - High-ranking Military Officer in the UPDF', "" Formerly, Uganda's Minister of State for Microfinance"", ' Senior Adviser to the President of Uganda on military matters', '  Davis Kamoga - Bronze Medal winner in 400 meters at the 1996 Summer Olympics in Atlanta, Georgia  Captain Frank Musisi - Commanding Officer for Headquarters & Headquarters Company, 377th Theater Sustainment Command, United States Army, New Orleans, Louisiana', '  See also  Education in Uganda  Masaka District  References  External links  Website of Kako Senior Secondary School  Rankings of All Accredited Senior Secondary Schools In Uganda In 2009    Uganda: Fundraisers a Waste of Time, Says Museveni  Top Schools In Uganda: 2000 - 2010  Category:Boarding schools in Uganda Category:Educational institutions established in 1963 Category:Mixed schools in Uganda Category:Secondary schools in Uganda Category:1963 establishments in Uganda Category:Masaka District']","Location The school campus is situated on Kako Hill, approximately , by road, east of Masaka, off the road to Bukakata, on the northeastern shores of Lake Victoria, the second-largest flesh-water lake in the world"
UG-2011-6#-00000287,"['Kaliro Power Station is a  bagasse-fired thermal power plant in Uganda, the third-largest economy in the East African Community', '  Location The power station is located on the campus of Sugar & Allied Industries Limited, the owners of the power station', ' This location lies in the village of Buwaya, about  northwest of the town of Kaliro, in Kaliro District, Eastern Uganda', ' This about  north of Iganga, the nearest large town', ' Kaliro Power Station lies about  northeast of Kampala, the capital and largest city in the country', "" The coordinates of the power station are 0°56'50"", '0""N, 33°29\'13', '0""E (Latitude:0', '947217; Longitude:33', '486939)', '  Overview Kaliro Power Station is owned and operated by Sugar & Allied Industries Limited (SAIL), the third-largest sugar manufacturer in Uganda', ' The power station was designed and built around the sugar manufacturing plant of SAIL', ' The fibrous residue from the process of crushing sugar cane, known as bagasse, is burnt to heat water in boilers and produce steam', ' The steam is pressurized and used to drive turbines which then generate electricity', ' The excess heat is used in the sugar manufacturing process', ' , the power station was capable of producing a maximum of 12MW of electricity, 5MW of which was utilized internally by SAIL', ' The remaining 7MW is sold to the national electricity grid', ' The plant is expandable to a maximum capacity of 22MW', ' Both SAIL and Kaliro Power Station are subsidiaries and member companies of the Alam Group, a multimillion-dollar conglomerate based in Uganda with subsidiaries in Kenya and Rwanda', '  Licensure In October 2014, the Electricity Regulatory Authority (ERA), issued a power production license to Kaliro Power Station for 11', '9MW', ""  See also  References  External links All Uganda's Three Major Sugar Factories Co-generate Electricity From Bagasse Analysis of Uganda's Present And Future Electricity Needs And Sources  Category:Industrial buildings completed in 2014 Category:Bagasse-fired power stations in Uganda Category:Kaliro District Category:Alam Group""]","The fibrous residue from the process of crushing sugar cane, known as bagasse, is burnt to heat water in boilers and produce steam"
UG-2016-7Z-00000653,"['Bukuzindu Hybrid Solar and Thermal Power Station is a 1', '6MW hybrid solar and diesel fuel-fired thermal power plant in Uganda, the third-largest economy in the East African Community', ""  Location The power station is located in Bukuzindu Village, Magoye sub-county, on Bugala Island, the largest island in the Ssese Islands Archipelago, in Kalangala District, in Lake Victoria, Africa's largest fresh-water lake, in Uganda's Central Region"", ' This location is near the town of Kalangala, where the district headquarters are located, approximately nautical , by water, southwest of the town of Entebbe, on the mainland', '  Overview The hybrid power station has a 0', '6 Megawatts solar energy component and a 1', '0 Megawatts diesel fuel-fired thermal component', ' The solar component is for use primarily during the day when the sun is up, and the thermal component is for use primarily at night when the sun is down', ' As part of the  development, electricity transmission lines will be constructed to distribute the generated energy across the urban and rural areas on Bugala Island', ' The cost of the Power station alone is estimated at UGX:20 billion (approximately US$7', '25 million)', '  Kalangala Infrastructure Services In 2005, the infrastructure company called InfraCo Holdings, entered into an agreement with the Government of Uganda, to among other projects, build a power station to supply electricity to Bugala Island, the largest island in the Ssese Islands Archipelago', ' Kalangala Infrastructure Services (KIS), is the local subsidiary of InfraCo Holdings, that entered into a private-public-partnership arrangement with the government to implement the desired infrastructure developments', '  The development projects under the KIS scheme include:  The construction of a hybrid power station and the electrification of the entire island of Bugala', '  The building a double-hulled commercial ferry, to transport people from Bukakata to Kalangala', '  The development of a water supply system for the island', '  The upgrading of the existing , main road, to Class B gravel', '  All four projects are expected to cost about US$50 million to construct', '  Project Funding The entire development is a joint venture between KIS, a subsidiary of InfraCo Holdings and Uganda Development Corporation, on behalf of the Uganda Government', ' Funding for the US$50 million construction costs was provided by:  InfraCo Holdings of the UK  Nedbank of South Africa  Uganda Development Corporation  Emerging Africa Infrastructure Fund  United States Agency for International Development  Department for International Development of the UK  Guarant Company  The construction of the four components of the project were expected to be complete by December 2014', ' As of April 2015, the solar power station is operational with over 2,000 customers connected', ' Two marine vessels, the MV Pearl and MV Ssese, ply the waters between Kalangala and the mainland', ' The  road network on the island and the purified water distribution system are expected to come online in May 2015', '  Recent developments As of November 2018, the connected customers consume an average of 0', '4 megawatts of the 1', '6 megawatt capacity generation', ' Kalangala Infrastructure Services is in the process of encouraging more customers and SMEs to connect to the power station', '  See also  References  External links  UShs128 Billion To Revamp Kalangala Infrastructure  Category:Oil-fired power stations in Uganda Category:Solar power stations in Uganda Category:Kalangala District Category:Central Region, Uganda']","Location The power station is located in Bukuzindu Village, Magoye sub-county, on Bugala Island, the largest island in the Ssese Islands Archipelago, in Kalangala District, in Lake Victoria, Africa's largest fresh-water lake, in Uganda's Central Region.The development of a water supply system for the island.Two marine vessels, the MV Pearl and MV Ssese, ply the waters between Kalangala and the mainland.The road network on the island and the purified water distribution system are expected to come online in May 2015"
UG-2016-7Z-00000664,"['Ngamba Island Chimpanzee Sanctuary, is an island sanctuary in Uganda, dedicated to the care of orphaned chimpanzees, that have been rescued by the Uganda Wildlife Authority', ' Many of the chimpanzees were rescued from poachers and are unlikely to survive reintroduction to the wild', '  Location Ngamba Island is  of rainforest situated on Lake Victoria, approximately , by boat south-east of the city of Entebbe, near the Equator in Lake Victoria, Uganda', ' The island supports a rich diversity of natural wildlife and provides a variety of natural foods for the chimpanzees', ' It is set up as an eco-friendly project with compost toilets, rainwater collection, proper waste management practices and solar energy for electricity and hot water', '  Overview The Sanctuary is managed by a non-profit organisation, the  Chimpanzee Sanctuary and Wildlife Conservation Trust (CSWCT)', ' CSWCT is a partnership of six organizations committed to the welfare and conservation of wildlife', ' The Trustees are: Born Free Foundation International Fund for Animal Welfare Jane Goodall Institute  Uganda Wildlife Education Centre  Environmental Conservation Trust of Uganda (ECOTRUST)  Uganda Wildlife Society  The sanctuary is open all year round to visitors who pay a nominal entrance fee to view one or both of the chimpanzee feedings', ' Day and overnight visits (staying in luxury tents) are available and can be booked through the booking agent, Wild Frontiers Uganda', '  History Ngamba Island was gazetted in October 1998 to care for orphaned chimpanzees rescued from various parts of East Africa', '   See also  Lillian Ajarova  Stany Nyandwi  References  External links  NgambaIsland', 'org Ape Crusaders Feature in The Independent on Ngamba Island  Category:1998 establishments in Uganda Category:Nature conservation in Uganda Category:Tourist attractions in Uganda Category:Primate sanctuaries Category:Nature reserves Category:Organizations established in 1998 Category:Mukono District Category:Animal welfare organisations based in Uganda']","It is set up as an eco-friendly project with compost toilets, rainwater collection, proper waste management practices and solar energy for electricity and hot water"
UG-2016-7Z-00000430,"['The Juba Nile Bridge is composed of two adjacent 252 meter spans over the White Nile in Juba, South Sudan, on the Juba-Nimule Road, and provides the only access over the River Nile to South Sudan', ' It was built in 1972 during the regime of General Gaafar Nimeiry, from two World War II era bridges', ' It was re-opened in January 2012 after major repair works following an accident in 2010 which left one lane of the bridge unusable for heavy vehicles', ' A new bridge, the Freedom Bridge, is expected to be completed in 2018', '  History The original Nile bridge crossing at Juba was built in 1974 by the Dutch construction company De Groot International under a United Nations programme', ' On the 15th of March 1974 it was opened by general Gaafar Nimeiry', ' Up until that time an irregular ferry service was the only way to cross the Nile river for hundreds of miles', ' After the Sudan civil war the United Nations Commissioner For Refugees asked for help from the Dutch government', ' The ""Rijkswaterstaat Directie Bruggen"" was asked to design a bridge and they came up with a practical design using World War II-era Bailey bridge material', '  The design for the bridge with six 43 meter spans also included walkways to the left and right, five pillars driven into the granite substrate, the landends and the road leading up to the bridge', ' More than 600 tons of steel, parts of a floating crane, a drilling rig and a bulldozer and a complete field kitchen and medical unit were transported to the site', ' The materials were shipped around the Cape and driven into Sudan from neighbouring Kenya', ' From the first order until the transport leaving the port of Rotterdam took 7 weeks, the transport took 10 weeks, and the total construction time on site was 14 weeks', ' One reason this tight schedule was a success was the setting up of a sober ""campsite"" where the Dutch construction workers lived, working closely with locals to get the job done', '   Following the collapse of one of the bridges due to hostilities, two replacement 252-metre Mabey Compact 200 bridges were installed in 2006', ' In 2010, one of these two Juba Nile Bridges was damaged, leaving it completely unusable for heavy vehicles', ' The bridges provided the only access over the Nile into much of South Sudan, since most goods and foodstuffs imported from Kenya and Uganda passed over the Juba-Nimule Road', ""  As of result of South Sudan's becoming an independent nation in 2011, newly elected president Salva Kiir made the repair of the Juba Nile Bridges one of his government's priorities during the administration's first 100 days"", ' Funding for the repair was provided by the United States Agency for International Development (USAID) under the Accelerated Infrastructure Program, a cooperative agreement with the United Nations Office for Project Services (UNOPS)', ' A new bridge, the Freedom Bridge is expected to be completed in 2018', '  A local construction firm started the repair works in December 2010, fully reopening the bridge in mid-January 2012, ahead of the scheduled February completion date', '   References    External links   Category:Bridges in South Sudan']",Up until that time an irregular ferry service was the only way to cross the Nile river for hundreds of miles
UG-2011-6#-00000269,"['thumb|right The Itanda Falls are rapids on the White Nile river in Uganda', '  They are a challenge for kayakers, being graded at the highest level of difficulty', '  References  Category:Jinja District Category:Rapids Category:Waterfalls of Uganda']",thumb|right The Itanda Falls are rapids on the White Nile river in Uganda
UG-2018-7Z-00000086,"['The Busitema Solar Power Station is a  solar power plant, under development in Uganda', '  Location The power station is located in Busia District in the Eastern Region of Uganda, on the main campus of Busitema University, a public university, approximately , by road, east of Kampala, the largest city and capital of Uganda', '  Overview This solar station is a donation from the government of Egypt to the government of Uganda', ' This followed the signing of bilateral agreements between the two countries in 2016', ' This was then followed by the signing of a memorandum of understanding between Abdel Fattah el-Sisi, the president of Egypt, and Yoweri Museveni, the president of Uganda, in May 2018', "" The power station is intended to increase Uganda's renewable energy pool, increase the supply of power to the Eastern Region, and serve as a teaching tool to university students studying renewable energy programs"", '  When completed, this power station will be the fourth solar power station connected to the Ugandan national electricity power grid, after the Soroti Solar Power Station, which came online in December 2015, the Tororo Solar Power Station, which was commissioned in October 2017, and the Kabulasoke Solar Power Station, which was commissioned in December 2018', '  Developers The solar power plant was developed by engineers from the Egyptian Ministry of Electric & Renewable Energy Authority', ' The senior engineer is Mohammed A', ' Abdel Aziz and the project manager is engineer Reda Shaban Ali', ' An Egyptian team, led by the two, performed an advance inspection and approved the site of the plant', '  The parties agreed for Egypt to provide the necessary equipment and engineering services while Uganda provides the  real estate where the plant is built', ' In addition, Uganda catered for the ground transportation and taxation of the donated equipment, from the port of Mombasa, Kenya to the project location in Uganda', '  See also  List of power stations in Uganda Electricity Regulatory Authority  References  External links  Uganda Energy Situation In 2014  Egypt, Uganda leaders discuss Nile water issue in Cairo As of 9 May 2018', '  Category:Solar power stations in Uganda Category:Eastern Region, Uganda Category:Energy infrastructure in Uganda Category:Energy infrastructure in Africa']","See also List of power stations in Uganda Electricity Regulatory Authority References External links Uganda Energy Situation In 2014 Egypt, Uganda leaders discuss Nile water issue in Cairo As of 9 May 2018"
UG-2011-6#-00000403,"['Nimule is a city in the southern part of South Sudan in Magwi County, Eastern Equatoria', ' It lies approximately , by road, southeast of Juba, the capital of South Sudan and largest city in the country', ' The town also lies approximately , by road, north of Gulu, Uganda, the nearest large city', '  Overview and history In 1901, Nimule was the base for a British punitive expedition against the Lango, which had raided neighbouring districts', ' The Longo had been supported by Sudanese mutineers, who were all captured or killed by the British force', '  On 19 August 2013, the South Sudanese parliament decided to upgrade Nimule Town to City Council status, administered by a City Clerk', ' Some in the county have protested, calling for wider consultations', '  On April 7, 2014, the Mountain Trade and Development Bank expanded into the Eastern Equatoria state by opening a new branch in the town of Nimule', '  On October 6, 2017; Uganda had pledged to supply power to two South Sudanese border towns as part of the Eastern Africa Power Pool agreement; that calls on all member states to connect electricity to each other', ' Uganda\'s energy minister Simon D\'Ujanga said ""400 kilo-volts of power will be supplied to the towns of Kaya and Nimule to boost socio-economic activities in the border areas', '  Population The population of Nimule was estimated at about 45,000 in 2006', ' The current population is not publicly known, as of December 2014', '  One stop border post In February 2020, the one stop border post (OSBP) on the  Nimule side of the  border was officially opened for business', ' The OSBP was built at a cost of US$5 million with financing from Trademark East Africa', ' The OSBP on the Ugandan side at Elegu was completed earlier and was commissioned in November 2018', ' During the calendar year ending December 2019, South Sudan imported goods worth US$364 million from Uganda', '  Economy Commercial bank branches:  A branch of Equity Bank South Sudan Limited  A branch of Kenya Commercial Bank South Sudan Limited  A branch of Mountain Trade and Development Bank  Transportion and infrastructure Juba-Nimule Road - 119 mile road, that connects Juba to Numule SS Highway A43', ' Gulu–Nimule Road - 65 mile road, that connects Highway A104 in Uganda with South Sudan Highway A43', ' Nimule Airport -  The airport,  has a single unpaved runway which measures  in length', ' Nimule National Park - The national park is located just outside town, to the north and to the east', '  Proposed improvements Rail Extension - In 2007, there were new proposals for a standard gauge rail link between Uganda and South Sudan passing through Nimule', '  Accidents  On 7 October 2006, a heavy truck with Ugandan registration UAD 720U from Uganda, carrying cement caused several spans on one of the two carriageways of the bridge to collapse into the river', '  On Friday, 17 June 2011, two Ugandan buses, one traveling to Juba, South Sudan from Nimule and the other traveling in the opposite direction, collided head-on, in Pajili Village, about , north of Nimule, killing at least 28 people and injuring at least 65 others', ' A joint investigation by the South Sudanese and Ugandan authorities, cited (a) overloading (b) speeding and (c) driver fatigue as factors in the collision', '  On Monday, 29 September 2014, a passenger bus traveling from Juba, crashed head-on with a truck-trailer carrying merchandise from Uganda to Juba', ' The accident which occurred at about 7', '00 AM, killed at about 60 people and injured 13 others', ' Eyewitnesses stated that the truck was traveling on the wrong side of the road', ""  Points of interest The following points of interest are located in or near Nimule:   The offices of Nimule Town Council  Cornerstone Children's Home, Cornerstone Academy and Cornerstone Clinic - Programs run by Fulaa Lifeline International, a non-profit NGO"", '  Merlin Hospital Nimule - A private, non-profit hospital, owned and operated by Medical Emergency Relief International (Merlin), an NGO  Nimule Airport - A public, civilian and military airport  The International border between South Sudan and the Republic of Uganda  The Gulu-Juba Highway - , the  highway is murram', ' Arrangements to convert the highway to bitumen surface are underway in both countries', '  Nimule National Park - The national park is located just outside town, to the north and to the east', '  The Leadership Academy of South Sudan (LASS) is located on the eastern outskirts of Nimule town', 'Leadership Academy South Sudan  See also  Railway stations in South Sudan  Transport in South Sudan  References  External links   Website of Nimule Standard Newspaper  Category:Populated places in Eastern Equatoria Category:South Sudan–Uganda border crossings']","Accidents On 7 October 2006, a heavy truck with Ugandan registration UAD 720U from Uganda, carrying cement caused several spans on one of the two carriageways of the bridge to collapse into the river"
UG-2006-5#-00000295,"['Lake George or Lake Dweru is a lake in Uganda', "" It covers a total surface area of  and is a part of Africa's Great Lakes system, although not itself considered one of the Great Lakes"", ' Like the other lakes in the region, it was named after a member of the British royal family, in this case Prince George, later to become King George V of the United Kingdom', ' Lake George drains to the southwest into Lake Edward through the Kazinga Channel', '  Explorer Henry M', ' Stanley was the first European to see the lake in 1875, after following the course of the Katonga river from Lake Victoria during his trans-African expedition', ' Thinking it was part of Lake Albert, he named it Beatrice Gulf', 'Newman, James L', '(2004) Imperial Footprints, Potomac Books, , p', ' 121 Exploration plans were aborted due to the threat of conflict with the kingdom of Bunyoro', ' On his second visit to the area, in 1888 during the Emin Pasha Relief Expedition, Stanley also discovered Lake Edward, and realizing that there were two independent lakes, gave Lake George its current name', '  thumb|250px|left|Rivers and lakes of Uganda', ' George is the relatively small lake directly northeast of Lake Edward  References    George Category:Katonga River Category:Ramsar sites in Uganda']","Stanley was the first European to see the lake in 1875, after following the course of the Katonga river from Lake Victoria during his trans-African expedition"
UG-2011-6#-00000570,"['Lake Albert, formerly known as Lake Mwitanzige and Lake Mobutu Sese Seko, is a lake located in Uganda and the Democratic Republic of the Congo', "" It is Africa's seventh-largest lake, as well as the second biggest of Uganda's Great Lakes"", 'https://www', 'ugandaletsgotravel', 'com/uganda-safaris/nature-and-conservation/lakes-rivers-waterfalls/lake-albert/  Geography Lake Albert is located in the center of the African continent, on the border between Uganda and the Democratic Republic of the Congo', ' It is the northernmost of the chain of lakes in the Albertine Rift, the western branch of the East African Rift', '  It is about  long and  wide, with a maximum depth of , and a surface elevation of  above sea level', '  Lake Albert is part of the complicated system of the upper Nile', ' Its main sources are the White Nile, ultimately coming from Lake Victoria to the southeast, and the Semliki River, which issues from Lake Edward to the southwest', ' The water of the Victoria Nile is much less saline than that of Lake Albert', "" The lake's outlet, at its northernmost tip, is the Albert Nile section of the White Nile"", ' The river later becomes known as the Mountain Nile when its course enters South Sudan', '  At the southern end of the lake, where the Semliki comes in, there are swamps', ' The Rwenzori Mountains are to the south of the lake and to the northwest, the Blue Mountains', ' The few settlements along the shore include Butiaba and Pakwach', ""  Water characteristics Unlike the very deep Lake Malawi, Lake Tanganyika and Lake Kivu, Lake Albert's water temperature is relatively stable throughout, typically around , and even its deeper sections contain oxygen"", '  The water has a pH of around or just below 9 and an electric conductivity of around 720–780 μS/cm', ' These are both very high for a freshwater lake but nevertheless lower than Lake Edward', ""  Animals Lake Albert is home to many aquatic and semi-aquatic animals like hippopotamuses, Uganda kob antelopes, Nile crocodiles, Nile monitors, African softshell turtles, Central African mud turtles, Williams' mud turtles, various semi-aquatic snakes and various frogs"", ' Water birds are numerous and include pelicans, herons and the rare shoebill', '   Fish and fishing  There are 55 fish species in Lake Albert', ' Except for Nile crocodiles, the largest predators in the lake are the Nile perch (native, unlike in other Rift Valley lakes where introduced and invasive), elongate tigerfish, African tigerfish, marbled lungfish, cornish jack, Bagrus docmak, African sharptooth catfish and vundu catfish', ' Others that support important fisheries are Nile tilapia, Niger barb, Albert lates, electric catfish and giraffe catfish that are caught by standard fishing methods, and the small Brycinus nurse and Engraulicypris bredoi that mainly are caught by light fishing', ' As much as 30% of the fish production in Uganda is from Lake Albert', '  Lake Albert has fewer endemics than the other African Great Lakes', ' Although the Albert Nile–the section of the Nile that leaves Lake Albert—has several rapids in the Nimule region, these have not effectively isolated the lake from the main Nile sections', ' In contrast, Lake Edward (and ultimately Lake George) is effectively isolated from Lake Albert by the rapids on the Semliki River, while Lake Kyoga (and ultimately Lake Victoria) is effectively isolated from Lake Albert by the Murchison Falls on the Victoria Nile', "" As a consequence, most of Lake Albert's fish are widespread riverine species also found in the main Nile sections"", ' There are few haplochromine cichlids; a group that is very diverse in other Rift Valley lakes', ' Of the six haplochromines in Lake Albert, four are endemic (Haplochromis albertianus, H', ' avium, H', ' bullatus and H', ' mahagiensis) and two are also found in the Nile (H', ' loati and Pseudocrenilabrus multicolor)', ' In comparison, most of the more than 60 haplochromines in Lake Edward–George and most of the roughly 600 haplochromines in Lake Victoria–Kyoga are endemic', ' The only other endemic fish species in Lake Albert are the small cyprinid Engraulicypris bredoi and the endangered Albert lates', '  History Lake Albert was previously known as “Mwitanzige” (locusts killer) by the Banyoro and Batooro, as well as other peoples who have been populated the region for centuries before the colonial age', ' This was because of the ancient belief that locusts (locally called ""enzige"") perished in the lake as they tried to cross it', ' In 1864, the explorers Samuel Baker and Flóra von Sass found the lake and renamed it after the recently deceased Prince Albert, consort of Queen Victoria', ' In the 20th century, Zairian President Mobutu Sese Seko temporarily named the lake after himself', '  European colonialists operated shipping on the lake', ' The British planned shipping on Lake Albert as part of a network of railway, river steamer and lake steamer services linking British interests in Egypt, east Africa and southern Africa', ' The John I', ' Thornycroft & Company shipyard at Woolston, Hampshire built the cargo and passenger ship  for this purpose in 1930', ' She was named after the British Army officer Robert Thorne Coryndon, who was governor of Uganda 1918–22', ' Winston Churchill described the ship as ""the best library afloat"" and Ernest Hemingway called her ""magnificence on water""', ' She either was scuttled in 1962 or sank in 1964', ' She remains unsalvaged and partly submerged in the lake  at Butyaba landing site', ' These can still be seen to date', '  Heritage Oil and Tullow Oil have announced major oil finds in the Lake Albert basin, with estimates that the multi-billion barrel field will prove to be the largest onshore field found in sub-Saharan Africa for more than twenty years', '  In March 2014, a boat carrying Congolese refugees capsized in Lake Albert, killing more than 250 people', '  On 26 December 2016, a boat carrying 45 members and fans of a local village football team capsized in Lake Albert killing at least 30 people', '  On 24 December 2020, thirty people died when a boat capsized in en route from Uganda to Congo', ' The passengers were concerned about travel restrictions related to the COVID-19 pandemic in Africa', '  The Kibiro settlement on Lake Albert has cultural and archeological significance', '  Gallery  See also Energy in Uganda  References  External links  Food and Agriculture Organization of the United Nations World Lakes Database entry for Lake Albert ""East African Railways and Harbours, Marine Services"": photos of East African lake ferries including SS Robert Coryndon    Category:African Great Lakes Category:Lakes of the Great Rift Valley Category:Lakes of the Democratic Republic of the Congo Category:Lakes of Uganda Category:Democratic Republic of the Congo–Uganda border Category:Nile Category:International lakes of Africa']","These are both very high for a freshwater lake but nevertheless lower than Lake Edward.The British planned shipping on Lake Albert as part of a network of railway, river steamer and lake steamer services linking British interests in Egypt, east Africa and southern Africa"
