DHSID_EA,water_index
IA-2015-7#-00311267,5.0
IA-2015-7#-00360042,5.0
IA-2015-7#-00280564,3.636363636363636
IA-2015-7#-00311213,5.0
IA-2015-7#-00310134,5.0
IA-2015-7#-00130070,4.777777777777778
IA-2015-7#-00280619,3.333333333333333
IA-2015-7#-00280353,4.222222222222222
IA-2015-7#-00280766,4.909090909090909
IA-2015-7#-00240216,4.904761904761905
IA-2015-7#-00280824,4.818181818181818
IA-2015-7#-00280293,4.818181818181818
IA-2015-7#-00340416,4.2727272727272725
IA-2015-7#-00330003,3.0
IA-2015-7#-00336006,4.565217391304348
IA-2015-7#-00335767,3.6666666666666665
IA-2015-7#-00310803,4.590909090909091
IA-2015-7#-00110900,5.0
IA-2015-7#-00130040,5.0
IA-2015-7#-00340814,4.111111111111111
IA-2015-7#-00340220,4.8
IA-2015-7#-00340791,5.0
IA-2015-7#-00050449,3.0
IA-2015-7#-00161011,5.0
IA-2015-7#-00160275,3.4761904761904763
IA-2015-7#-00160393,5.0
IA-2015-7#-00310234,4.909090909090909
IA-2015-7#-00191983,4.818181818181818
IA-2015-7#-00330810,3.095238095238096
IA-2015-7#-00280604,5.0
IA-2015-7#-00310187,4.818181818181818
IA-2015-7#-00200055,4.7
IA-2015-7#-00190822,4.863636363636363
IA-2015-7#-00334059,3.090909090909091
IA-2015-7#-00340611,4.2727272727272725
IA-2015-7#-00340331,5.0
IA-2015-7#-00140461,4.045454545454546
IA-2015-7#-00160170,4.954545454545454
IA-2015-7#-00360376,4.818181818181818
IA-2015-7#-00090013,5.0
IA-2015-7#-00332396,3.6
IA-2015-7#-00201202,5.0
IA-2015-7#-00311042,4.454545454545454
IA-2015-7#-00170553,4.136363636363637
IA-2015-7#-00130215,5.0
IA-2015-7#-00201258,3.65
IA-2015-7#-00110710,5.0
IA-2015-7#-00300116,5.0
IA-2015-7#-00110577,5.0
IA-2015-7#-00311257,5.0
IA-2015-7#-00300240,4.636363636363637
IA-2015-7#-00201052,5.0
IA-2015-7#-00300125,5.0
IA-2015-7#-00300114,5.0
IA-2015-7#-00310481,3.0
IA-2015-7#-00360408,5.0
IA-2015-7#-00333636,3.631578947368421
IA-2015-7#-00020173,5.0
IA-2015-7#-00160705,4.090909090909091
IA-2015-7#-00350519,1.9
IA-2015-7#-00350001,5.0
IA-2015-7#-00340237,5.0
IA-2015-7#-00331842,4.4
IA-2015-7#-00170388,5.0
IA-2015-7#-00110236,3.4
IA-2015-7#-00310834,4.954545454545454
IA-2015-7#-00110581,3.8181818181818175
IA-2015-7#-00360277,4.9
IA-2015-7#-00360330,3.5
IA-2015-7#-00120664,3.090909090909091
IA-2015-7#-00200436,5.0
IA-2015-7#-00201179,5.0
IA-2015-7#-00110830,5.0
IA-2015-7#-00200631,4.9
IA-2015-7#-00110675,5.0
IA-2015-7#-00191013,3.238095238095238
IA-2015-7#-00030602,5.0
IA-2015-7#-00160557,5.0
IA-2015-7#-00140112,4.428571428571429
IA-2015-7#-00300248,5.0
IA-2015-7#-00050826,3.1
IA-2015-7#-00310278,5.0
IA-2015-7#-00333396,3.0
IA-2015-7#-00310023,4.318181818181818
IA-2015-7#-00160797,5.0
IA-2015-7#-00041212,3.142857142857143
IA-2015-7#-00170136,4.318181818181818
IA-2015-7#-00160567,4.684210526315789
IA-2015-7#-00170578,4.136363636363637
IA-2015-7#-00201188,4.684210526315789
IA-2015-7#-00240187,5.0
IA-2015-7#-00360434,4.2
IA-2015-7#-00100105,5.0
IA-2015-7#-00130466,4.9523809523809526
IA-2015-7#-00130180,5.0
IA-2015-7#-00200196,5.0
IA-2015-7#-00200836,4.45
IA-2015-7#-00201089,5.0
IA-2015-7#-00220335,4.909090909090909
IA-2015-7#-00220059,3.909090909090909
IA-2015-7#-00030383,4.8
IA-2015-7#-00120231,3.636363636363636
IA-2015-7#-00110554,3.4761904761904763
IA-2015-7#-00200601,4.904761904761905
IA-2015-7#-00040978,3.0
IA-2015-7#-00040502,4.578947368421052
IA-2015-7#-00041077,3.6
IA-2015-7#-00040392,3.142857142857143
IA-2015-7#-00040112,4.052631578947368
IA-2015-7#-00040632,3.4761904761904763
IA-2015-7#-00060108,5.0
IA-2015-7#-00110083,5.0
IA-2015-7#-00310136,5.0
IA-2015-7#-00250258,5.0
IA-2015-7#-00020260,5.0
IA-2015-7#-00111041,5.0
IA-2015-7#-00160569,4.727272727272728
IA-2015-7#-00260816,3.333333333333333
IA-2015-7#-00020408,5.0
IA-2015-7#-00200653,4.454545454545454
IA-2015-7#-00110158,5.0
IA-2015-7#-00350429,5.0
IA-2015-7#-00310625,4.909090909090909
IA-2015-7#-00070250,3.136363636363636
IA-2015-7#-00310510,4.818181818181818
IA-2015-7#-00300024,5.0
IA-2015-7#-00200217,5.0
IA-2015-7#-00200855,5.0
IA-2015-7#-00050349,3.0
IA-2015-7#-00201187,5.0
IA-2015-7#-00200784,5.0
IA-2015-7#-00200288,5.0
IA-2015-7#-00190321,4.2727272727272725
