DHSID_EA,women_edu
BD-2007-5#-00000088,5.388888888888889
BD-2014-7#-00000031,4.96
BD-2014-7#-00000044,6.391304347826087
BD-2004-4Z-00000025,4.423076923076923
BD-2004-4Z-00000307,5.9
BD-2017-7Z-00000031,6.15625
BD-2007-5#-00000055,4.733333333333333
BD-2014-7#-00000443,10.172413793103448
BD-2014-7#-00000159,10.08
BD-2017-7Z-00000423,5.961538461538462
BD-2014-7#-00000143,4.0
BD-2017-7Z-00000420,12.521739130434783
BD-2004-4Z-00000185,3.264705882352941
BD-2014-7#-00000265,4.909090909090909
BD-2000-4#-00000212,3.7
BD-2011-6#-00000443,3.142857142857143
BD-2007-5#-00000154,3.65625
BD-2014-7#-00000272,13.11111111111111
BD-2004-4Z-00000337,5.21875
BD-2011-6#-00000194,11.333333333333334
BD-2011-6#-00000168,6.866666666666666
BD-2011-6#-00000200,4.3
BD-2007-5#-00000086,5.172413793103448
BD-2014-7#-00000018,6.074074074074074
BD-2007-5#-00000106,6.823529411764706
BD-2017-7Z-00000250,10.375
BD-2014-7#-00000239,5.7
BD-2014-7#-00000240,10.62962962962963
BD-2004-4Z-00000077,4.125
BD-2014-7#-00000116,7.518518518518518
BD-2007-5#-00000064,4.0
BD-2007-5#-00000168,9.22222222222222
BD-2000-4#-00000325,4.88
BD-2000-4#-00000435,3.645161290322581
BD-2017-7Z-00000037,4.242424242424242
BD-2000-4#-00000067,3.4722222222222223
BD-2017-7Z-00000258,12.4375
BD-2011-6#-00000115,5.068965517241379
BD-2004-4Z-00000108,2.393939393939394
BD-2007-5#-00000049,7.233333333333333
BD-2014-7#-00000156,7.852941176470588
BD-2011-6#-00000245,5.857142857142857
BD-2014-7#-00000164,5.25
BD-2000-4#-00000482,5.111111111111111
BD-2011-6#-00000162,7.147058823529412
BD-2004-4Z-00000503,2.72972972972973
BD-2000-4#-00000185,4.333333333333333
BD-2017-7Z-00000342,6.714285714285714
BD-2011-6#-00000184,10.421052631578949
BD-2000-4#-00000398,4.27027027027027
BD-2007-5#-00000156,4.8
BD-2017-7Z-00000647,7.0
BD-2014-7#-00000137,3.586206896551724
BD-2011-6#-00000445,3.363636363636364
BD-2004-4Z-00000039,3.918918918918919
BD-2014-7#-00000383,3.8857142857142857
BD-2000-4#-00000431,4.125
BD-2017-7Z-00000585,8.870967741935484
BD-2000-4#-00000251,5.771428571428571
BD-2004-4Z-00000045,2.742857142857143
BD-2017-7Z-00000231,7.833333333333333
BD-2000-4#-00000226,3.131578947368421
BD-2000-4#-00000279,3.4411764705882355
