DHSID_EA,relevance_score,most_relevant_sentences
TJ-2017-7#-00000209,1.0,"In early 2000, local Taliban authorities asked for the UN's assistance to rebuild drainage ditches around the tops of the alcoves where the Buddhas were set.Semple, Michael Why the Buddhas of Bamian were destroyed , Afghanistan Analysts Network 2 March 2011   Destruction  In an interview, Taliban leader Mullah Omar provided an ostensible explanation for his order to destroy the statues:  On 6 March 2001, The Times quoted Mullah Mohammed Omar as stating, ""Muslims should be proud of smashing idols."
TJ-2017-7#-00000241,1.0,"In 1887, the Russian Empire began to operate a brown water navy on the Amu Darya River."
TJ-2017-7#-00000144,1.0,"While the bombardment went on, Alexander ordered certain of his troops to sneak through a dried-up water course that went under the town's wall. The rest apparently sought refuge inside the town's central fortress, but surrendered after one day for lack of water."
TJ-2012-6#-00000349,1.0,"In April 2012, the water supply at the Rostaq district's school for girls was poisoned by unknown insurgents, sickening at least 140 Afghan schoolgirls and teachers ranging in age from 14 to 30, causing them to be hospitalized and some to partially lose consciousness, though there have been no deaths so far."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2017-7#-00000098,2.0,"The reservoir supplies water for irrigation, primarily in Uzbekistan downstream, and hydroelectric power production."
TJ-2012-6#-00000332,2.0,Its reservoir also holds water for the irrigation of some  in the Yovon and Obikiik Valleys to the west.
TJ-2012-6#-00000292,2.0,It serves to provide water to a system of irrigation canals and generate hydroelectric power.
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
TJ-2012-6#-00000115,1.0,"The Farkhad Dam (also known as Dam-16) is a hydroelectric and irrigation dam on the  Spitamen in Sughd Province, Tajikistan."
TJ-2017-7#-00000199,1.0,"Some of Tajikistan's neighbours, especially Uzbekistan, are concerned that construction of large hydroelectric plants within the headwaters of the region's rivers will result in shortages of water downstream. Uzbekistan, Kazakhstan and Turkmenistan are concerned that the filling of the power plant's reservoir and the actual operation of the power plant will harm the water needed for their crop production. References  Category:Hydroelectric power stations in Tajikistan Category:Hydroelectric power stations built in the Soviet Union Category:Russia–Tajikistan relations Category:Inter RAO Category:Dams on the Vakhsh River Category:Khatlon Region Category:Embankment dams Category:Dams completed in 2009 Category:Energy infrastructure completed in 2009 Category:2009 establishments in Tajikistan"
TJ-2017-7#-00000199,1.0,References  Category:Hydroelectric power stations in Tajikistan Category:Dams in Tajikistan Category:Dams completed in 2011 Category:Dams on the Vakhsh River Category:Earth-filled dams Category:Energy infrastructure completed in 2011 Category:Khatlon Region Category:2011 establishments in Tajikistan Category:Iran–Tajikistan relations
TJ-2012-6#-00000258,1.0,On the Tajik part of the range there are 240 glaciers with a total area of 144 km2.Сарыкольский хребет - article from the Great Soviet Encyclopedia The range's drainage basin feeds both the Amu Darya and Tarim River.
TJ-2012-6#-00000105,1.0,"Due to its natural isolation and limited infrastructure access, the people of Yaghnob Valley have been able to preserve their distinct lifestyle, culture and language, Yaghnobi, which is closely related to ancient Sogdian. The conference delegates formulated an appeal to the government and citizens of Tajikistan, and also to international organizations, for support in the establishment of the Yaghnob Natural Ethnography Park and for help in the sustainable and responsible development of the Yaghnob Valley, including improvements in the infrastructure."
TJ-2017-7#-00000077,2.0,The dam provides water to the Kyzyl-Kum channel for crop irrigation.
TJ-2017-7#-00000098,2.0,"The reservoir supplies water for irrigation, primarily in Uzbekistan downstream, and hydroelectric power production."
TJ-2012-6#-00000332,2.0,Its reservoir also holds water for the irrigation of some  in the Yovon and Obikiik Valleys to the west.
TJ-2012-6#-00000292,2.0,It serves to provide water to a system of irrigation canals and generate hydroelectric power.
TJ-2012-6#-00000078,1.0,"On the walls in the enameled ceramics shown for water, and the ceiling is decorated with ganch."
TJ-2017-7#-00000123,1.0,"There are also Nurotamarmar, Nurotaavtoyulmarmar, Nurbuloq mineral water packaging enterprise, Chashma, Istiqlol trade factories and sewing factories."
TJ-2017-7#-00000077,1.0,"It is  long, and has a drainage basin of .Келес (река в Чимкентской обл."
