DHSID_EA,asset_index,sanitation_index,water_index,women_edu
SZ-2006-5#-00000181,0.8775705661488588,3.411764705882353,4.0588235294117645,8.72
SZ-2006-5#-00000079,2.232738234623893,4.9375,5.0,6.142857142857143
SZ-2006-5#-00000231,2.6046815536298453,5.0,5.0,7.636363636363637
SZ-2006-5#-00000153,0.9069571609102854,3.684210526315789,3.3157894736842106,7.0
SZ-2006-5#-00000268,2.096800810625924,4.375,4.9375,9.933333333333334
SZ-2006-5#-00000155,-0.9889488621111582,2.421052631578948,3.526315789473684,6.894736842105263
SZ-2006-5#-00000185,2.775416365626877,4.882352941176471,5.0,11.285714285714286
SZ-2006-5#-00000128,-1.1671978911718162,2.421052631578948,1.894736842105263,6.923076923076923
SZ-2006-5#-00000205,2.683430321822705,5.0,5.0,11.0
SZ-2006-5#-00000162,1.4706599165393903,3.736842105263158,5.0,7.84
SZ-2006-5#-00000227,0.3019594263491468,3.45,2.2,8.129032258064516
SZ-2006-5#-00000008,-0.1982495558808922,2.526315789473684,3.421052631578948,5.578947368421052
SZ-2006-5#-00000112,1.334426244103172,3.631578947368421,4.842105263157895,8.794117647058824
SZ-2006-5#-00000070,0.347291232122732,3.55,2.0,9.4
SZ-2006-5#-00000140,1.1494948214867813,3.5789473684210527,4.578947368421052,7.0
SZ-2006-5#-00000197,-1.4957387457715026,2.0,1.947368421052632,6.521739130434782
SZ-2006-5#-00000061,0.5807111803794934,3.8,3.066666666666667,9.727272727272728
SZ-2006-5#-00000048,-1.1750090688440606,1.8333333333333333,2.6666666666666665,4.842105263157895
SZ-2006-5#-00000189,2.353642481943464,5.0,5.0,5.875
SZ-2006-5#-00000127,-0.8517357858616977,2.4444444444444446,1.9444444444444444,6.9523809523809526
SZ-2006-5#-00000016,3.253537125420317,5.0,5.0,12.578947368421051
SZ-2006-5#-00000180,2.5520763151926924,5.0,5.0,
SZ-2006-5#-00000203,0.7680397334942377,3.8333333333333335,3.388888888888889,8.304347826086957
SZ-2006-5#-00000202,0.753395649540769,3.65,3.75,6.695652173913044
