DHSID_EA,asset_index,sanitation_index,water_index,women_edu
KH-2000-4#-00000429,,,,0.0
KH-2010-6#-00000604,,3.08,,4.0
KH-2000-4#-00000440,,,,0.0344827586206896
KH-2000-4#-00000429,,,,0.0
KH-2000-4#-00000429,,,,0.0
KH-2005-5#-00000149,,1.2222222222222223,,2.617647058823529
KH-2014-7#-00000231,,5.0,,9.947368421052632
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2000-4#-00000440,,,,0.0344827586206896
KH-2000-4#-00000440,,,,0.0344827586206896
KH-2014-7#-00000571,,1.7142857142857142,,2.0277777777777777
KH-2000-4#-00000220,,,,4.7631578947368425
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000149,,1.2222222222222223,,2.617647058823529
KH-2000-4#-00000429,,,,0.0
KH-2000-4#-00000399,,,,3.70967741935484
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2000-4#-00000440,,,,0.0344827586206896
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2000-4#-00000205,,,,7.517241379310345
KH-2005-5#-00000216,,5.0,,8.465116279069768
KH-2014-7#-00000229,,5.0,,10.352941176470589
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2014-7#-00000120,,4.285714285714286,,5.372093023255814
KH-2005-5#-00000493,,1.0,,1.8461538461538465
KH-2014-7#-00000571,,1.7142857142857142,,2.0277777777777777
KH-2000-4#-00000437,,,,0.3181818181818182
KH-2010-6#-00000352,,1.3571428571428572,,4.903225806451613
KH-2010-6#-00000281,,1.0,,2.1333333333333333
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2000-4#-00000470,,,,0.8292682926829268
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2000-4#-00000357,,,,1.4583333333333333
KH-2000-4#-00000357,,,,1.4583333333333333
KH-2000-4#-00000440,,,,0.0344827586206896
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000083,,3.037037037037037,,2.793103448275862
KH-2010-6#-00000545,,1.6296296296296295,,3.48
KH-2000-4#-00000408,,,,1.4333333333333331
KH-2014-7#-00000439,,1.7142857142857142,,3.392857142857143
KH-2014-7#-00000439,,1.7142857142857142,,3.392857142857143
KH-2014-7#-00000439,,1.7142857142857142,,3.392857142857143
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2010-6#-00000311,,5.0,,8.076923076923077
KH-2010-6#-00000373,,1.0,,3.055555555555556
KH-2010-6#-00000545,,1.6296296296296295,,3.48
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000149,,1.2222222222222223,,2.617647058823529
KH-2014-7#-00000450,,1.32,,2.1785714285714284
KH-2005-5#-00000208,,4.125,,7.882352941176471
KH-2014-7#-00000448,,5.0,,5.90625
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
KH-2005-5#-00000149,,1.2222222222222223,,2.617647058823529
KH-2005-5#-00000149,,1.2222222222222223,,2.617647058823529
KH-2005-5#-00000004,,2.272727272727273,,2.5185185185185186
