DHSID_EA,women_edu
IA-2015-7#-00280118,11.181818181818182
IA-2015-7#-00310434,9.944444444444445
IA-2015-7#-00140065,8.2
IA-2015-7#-00170195,11.958333333333334
IA-2015-7#-00334861,13.2
IA-2015-7#-00170014,9.75
IA-2015-7#-00310674,7.0
IA-2015-7#-00336097,7.875
IA-2015-7#-00335207,11.954545454545457
IA-2015-7#-00051407,8.0
IA-2015-7#-00170158,11.526315789473683
IA-2015-7#-00310492,12.066666666666666
IA-2015-7#-00170057,11.79310344827586
IA-2015-7#-00190266,10.272727272727272
IA-2015-7#-00040845,9.1
IA-2015-7#-00070879,6.888888888888889
IA-2015-7#-00170168,12.578947368421051
IA-2015-7#-00260281,2.55
IA-2015-7#-00161011,7.952380952380952
IA-2015-7#-00040974,4.75
IA-2015-7#-00180052,10.636363636363637
IA-2015-7#-00170429,11.863636363636363
IA-2015-7#-00161017,7.64
IA-2015-7#-00160738,5.791666666666667
IA-2015-7#-00250270,10.666666666666666
IA-2015-7#-00350431,8.681818181818182
IA-2015-7#-00310910,9.826086956521738
IA-2015-7#-00160324,12.9375
IA-2015-7#-00261521,14.210526315789474
IA-2015-7#-00051156,2.7222222222222223
IA-2015-7#-00270092,10.210526315789474
IA-2015-7#-00200513,4.625
IA-2015-7#-00170312,13.347826086956522
IA-2015-7#-00170304,8.4375
IA-2015-7#-00170269,12.2
IA-2015-7#-00170067,12.045454545454543
IA-2015-7#-00334753,9.7
IA-2015-7#-00261404,8.25
IA-2015-7#-00350400,12.571428571428571
IA-2015-7#-00310073,8.35483870967742
IA-2015-7#-00200542,14.272727272727272
IA-2015-7#-00110111,10.352941176470589
IA-2015-7#-00331244,4.806451612903226
IA-2015-7#-00170078,10.68
IA-2015-7#-00200639,4.315789473684211
IA-2015-7#-00140417,6.285714285714286
IA-2015-7#-00310053,9.84
IA-2015-7#-00250444,8.764705882352942
IA-2015-7#-00250151,12.736842105263158
IA-2015-7#-00332458,8.181818181818182
IA-2015-7#-00170185,9.647058823529411
IA-2015-7#-00201017,10.571428571428571
IA-2015-7#-00310132,7.52
IA-2015-7#-00170409,12.310344827586206
IA-2015-7#-00311257,10.333333333333334
IA-2015-7#-00311031,9.476190476190476
IA-2015-7#-00360118,10.578947368421051
IA-2015-7#-00200659,7.862068965517241
IA-2015-7#-00340464,9.423076923076923
IA-2015-7#-00070681,8.571428571428571
IA-2015-7#-00311235,12.28125
IA-2015-7#-00250385,10.16
IA-2015-7#-00250256,11.571428571428571
IA-2015-7#-00300235,7.357142857142857
IA-2015-7#-00170512,15.263157894736842
IA-2015-7#-00130137,8.8
IA-2015-7#-00150638,7.478260869565218
IA-2015-7#-00110236,1.6666666666666667
IA-2015-7#-00050841,6.551724137931035
IA-2015-7#-00191692,11.409090909090908
IA-2015-7#-00160728,9.173913043478262
IA-2015-7#-00340160,8.121212121212121
IA-2015-7#-00310905,8.366666666666667
IA-2015-7#-00110571,4.277777777777778
IA-2015-7#-00350401,3.735294117647059
IA-2015-7#-00350598,6.083333333333333
IA-2015-7#-00311042,8.148148148148149
IA-2015-7#-00320088,11.866666666666667
IA-2015-7#-00050397,5.68
IA-2015-7#-00230188,10.12
IA-2015-7#-00350189,4.266666666666667
