DHSID_EA,women_edu
MA-2003-4#-00000237,4.057692307692308
MA-2003-4#-00000375,1.4883720930232558
MA-2003-4#-00000373,1.032258064516129
MA-2003-4#-00000248,8.848484848484848
MA-2003-4#-00000159,7.882352941176471
MA-2003-4#-00000223,4.137931034482759
MA-2003-4#-00000204,5.269230769230769
MA-2003-4#-00000062,3.2758620689655173
MA-2003-4#-00000472,0.4642857142857143
MA-2003-4#-00000263,7.076923076923077
MA-2003-4#-00000001,3.7142857142857135
MA-2003-4#-00000265,4.3
MA-2003-4#-00000256,4.517241379310345
MA-2003-4#-00000061,6.375
MA-2003-4#-00000012,9.285714285714286
MA-2003-4#-00000211,3.8333333333333335
MA-2003-4#-00000258,5.560975609756097
MA-2003-4#-00000063,3.774193548387097
MA-2003-4#-00000365,0.9423076923076924
MA-2003-4#-00000100,6.5588235294117645
MA-2003-4#-00000153,9.2
MA-2003-4#-00000127,9.029411764705882
MA-2003-4#-00000264,8.516129032258064
MA-2003-4#-00000123,6.684210526315789
MA-2003-4#-00000152,9.36
MA-2003-4#-00000241,5.371428571428571
MA-2003-4#-00000267,1.891891891891892
MA-2003-4#-00000178,6.871794871794871
MA-2003-4#-00000366,1.7857142857142858
MA-2003-4#-00000222,4.743589743589744
MA-2003-4#-00000128,6.379310344827586
MA-2003-4#-00000097,8.702702702702704
MA-2003-4#-00000405,0.7419354838709677
MA-2003-4#-00000164,7.0
MA-2003-4#-00000101,4.558139534883721
MA-2003-4#-00000002,8.09375
MA-2003-4#-00000370,2.073170731707317
MA-2003-4#-00000124,6.862068965517241
MA-2003-4#-00000257,8.233333333333333
MA-2003-4#-00000306,0.717391304347826
MA-2003-4#-00000169,6.886363636363637
MA-2003-4#-00000130,9.909090909090908
MA-2003-4#-00000282,2.230769230769231
MA-2003-4#-00000099,6.833333333333333
MA-2003-4#-00000122,6.5
MA-2003-4#-00000183,9.807692307692308
MA-2003-4#-00000125,9.038461538461538
MA-2003-4#-00000165,8.52
MA-2003-4#-00000166,5.903225806451613
MA-2003-4#-00000155,12.166666666666666
MA-2003-4#-00000086,9.405405405405403
MA-2003-4#-00000080,4.7105263157894735
