DHSID_EA,women_edu
PK-2017-7#-00000093,6.942857142857143
PK-2006-5#-00000072,0.875
PK-2017-7#-00000522,9.464285714285714
PK-2006-5#-00000535,5.25
PK-2017-7#-00000054,5.323529411764706
PK-2006-5#-00000830,
PK-2017-7#-00000061,1.1538461538461535
PK-2006-5#-00000543,8.5
PK-2006-5#-00000341,13.2
PK-2017-7#-00000116,8.8
PK-2017-7#-00000140,9.115384615384617
PK-2006-5#-00000643,1.8
PK-2006-5#-00000665,0.3846153846153846
PK-2006-5#-00000115,5.142857142857143
PK-2017-7#-00000485,7.545454545454546
PK-2006-5#-00000713,4.222222222222222
PK-2017-7#-00000151,5.148148148148148
PK-2006-5#-00000014,0.0
PK-2017-7#-00000126,10.2
PK-2017-7#-00000387,0.5
PK-2017-7#-00000487,11.863636363636363
PK-2006-5#-00000205,8.75
PK-2017-7#-00000477,11.272727272727272
PK-2017-7#-00000292,7.833333333333333
PK-2006-5#-00000748,0.7142857142857143
PK-2006-5#-00000213,6.222222222222222
PK-2017-7#-00000552,9.708333333333334
PK-2006-5#-00000838,5.333333333333333
PK-2006-5#-00000358,2.142857142857143
PK-2017-7#-00000455,7.076923076923077
PK-2006-5#-00000668,0.5
PK-2017-7#-00000494,5.107142857142857
PK-2006-5#-00000441,2.8181818181818183
PK-2006-5#-00000654,0.625
PK-2006-5#-00000620,0.3333333333333333
PK-2017-7#-00000410,5.0
PK-2006-5#-00000883,0.9375
PK-2006-5#-00000146,1.7
PK-2006-5#-00000711,3.4285714285714284
PK-2017-7#-00000149,6.277777777777778
PK-2006-5#-00000199,9.166666666666666
PK-2006-5#-00000321,2.0
PK-2006-5#-00000006,1.5833333333333333
PK-2006-5#-00000861,3.75
PK-2006-5#-00000667,2.083333333333333
PK-2006-5#-00000526,0.7692307692307693
PK-2006-5#-00000019,0.5
PK-2017-7#-00000402,4.588235294117647
PK-2006-5#-00000704,9.142857142857142
PK-2006-5#-00000928,0.625
PK-2017-7#-00000137,7.392857142857143
PK-2006-5#-00000023,10.5
PK-2006-5#-00000382,3.3
PK-2006-5#-00000331,2.090909090909091
PK-2017-7#-00000167,8.392857142857142
PK-2017-7#-00000218,0.0
PK-2017-7#-00000109,3.642857142857143
PK-2006-5#-00000173,0.0
PK-2006-5#-00000136,4.571428571428571
PK-2006-5#-00000683,0.0
PK-2006-5#-00000092,3.375
PK-2017-7#-00000271,2.5
PK-2017-7#-00000070,6.7
PK-2017-7#-00000524,9.238095238095235
PK-2006-5#-00000211,5.666666666666667
PK-2006-5#-00000466,2.5
PK-2006-5#-00000474,1.7
PK-2006-5#-00000518,1.75
PK-2017-7#-00000269,5.266666666666667
PK-2006-5#-00000559,3.9166666666666665
PK-2006-5#-00000682,0.6363636363636364
PK-2017-7#-00000290,9.176470588235292
PK-2017-7#-00000099,6.956521739130435
PK-2017-7#-00000065,0.9736842105263158
PK-2017-7#-00000431,12.88888888888889
PK-2006-5#-00000571,7.5
PK-2017-7#-00000474,2.1785714285714284
PK-2017-7#-00000176,1.4230769230769231
PK-2006-5#-00000202,8.090909090909092
PK-2006-5#-00000689,0.625
PK-2006-5#-00000197,6.428571428571429
PK-2017-7#-00000088,5.275862068965517
PK-2006-5#-00000925,6.818181818181818
PK-2006-5#-00000188,7.222222222222222
PK-2006-5#-00000237,7.125
PK-2006-5#-00000191,8.25
PK-2006-5#-00000865,1.6428571428571428
PK-2006-5#-00000340,8.222222222222221
PK-2006-5#-00000372,1.25
PK-2006-5#-00000274,0.7272727272727273
PK-2017-7#-00000382,0.8235294117647058
PK-2017-7#-00000146,5.44
PK-2006-5#-00000244,4.6
PK-2006-5#-00000797,0.0
PK-2017-7#-00000141,4.24
PK-2006-5#-00000190,6.0
PK-2017-7#-00000094,7.0
PK-2006-5#-00000076,3.769230769230769
PK-2006-5#-00000083,1.6666666666666667
PK-2017-7#-00000512,2.764705882352941
PK-2017-7#-00000113,12.1
PK-2006-5#-00000156,7.428571428571429
PK-2006-5#-00000786,2.6666666666666665
PK-2006-5#-00000229,0.0
PK-2006-5#-00000073,2.142857142857143
PK-2006-5#-00000498,0.8333333333333334
PK-2006-5#-00000151,6.8
PK-2017-7#-00000095,9.434782608695652
PK-2006-5#-00000158,1.3333333333333333
PK-2017-7#-00000492,4.515151515151516
PK-2006-5#-00000107,9.125
PK-2006-5#-00000222,1.9
PK-2006-5#-00000001,7.2
PK-2006-5#-00000400,10.181818181818182
PK-2006-5#-00000067,5.0
PK-2006-5#-00000333,7.3
PK-2006-5#-00000214,5.0
PK-2006-5#-00000741,2.1818181818181817
PK-2006-5#-00000363,6.7
PK-2017-7#-00000411,0.0
PK-2017-7#-00000395,0.5757575757575758
PK-2017-7#-00000056,0.7674418604651163
PK-2006-5#-00000283,2.090909090909091
PK-2006-5#-00000091,5.933333333333334
PK-2017-7#-00000123,4.727272727272728
PK-2017-7#-00000412,1.2580645161290325
PK-2017-7#-00000388,0.0
PK-2006-5#-00000127,6.615384615384615
PK-2017-7#-00000562,6.303030303030303
PK-2006-5#-00000346,3.25
PK-2006-5#-00000858,1.9375
PK-2006-5#-00000542,8.625
PK-2006-5#-00000177,1.375
PK-2006-5#-00000334,2.7857142857142856
PK-2006-5#-00000215,13.666666666666666
PK-2017-7#-00000193,5.346153846153846
PK-2017-7#-00000404,1.2333333333333334
PK-2017-7#-00000032,10.26086956521739
PK-2006-5#-00000767,4.454545454545454
PK-2006-5#-00000939,3.4444444444444446
PK-2017-7#-00000281,3.809523809523809
PK-2006-5#-00000493,0.8571428571428571
PK-2017-7#-00000301,12.761904761904765
PK-2017-7#-00000294,8.8
PK-2017-7#-00000490,4.1
PK-2006-5#-00000086,0.0
PK-2006-5#-00000152,7.125
PK-2006-5#-00000194,5.142857142857143
PK-2006-5#-00000268,1.1538461538461535
PK-2006-5#-00000821,2.625
PK-2006-5#-00000044,1.0
PK-2017-7#-00000022,0.9333333333333332
PK-2006-5#-00000041,7.166666666666667
PK-2006-5#-00000045,2.0
PK-2017-7#-00000488,7.7894736842105265
PK-2006-5#-00000534,5.125
PK-2017-7#-00000129,8.451612903225806
