DHSID_EA,sanitation_index
IA-2015-7#-00310136,4.809523809523809
IA-2015-7#-00350185,5.0
IA-2015-7#-00250258,5.0
IA-2015-7#-00160061,3.45
IA-2015-7#-00311257,5.0
IA-2015-7#-00170473,4.2727272727272725
IA-2015-7#-00201280,3.0
IA-2015-7#-00170168,5.0
IA-2015-7#-00200542,5.0
IA-2015-7#-00350482,3.619047619047619
IA-2015-7#-00051156,1.3636363636363635
IA-2015-7#-00311075,4.473684210526316
IA-2015-7#-00311246,4.409090909090909
IA-2015-7#-00350400,4.863636363636363
IA-2015-7#-00310073,1.9090909090909087
IA-2015-7#-00110111,5.0
IA-2015-7#-00201017,5.0
IA-2015-7#-00200464,1.7142857142857142
IA-2015-7#-00250256,5.0
IA-2015-7#-00311206,3.380952380952381
IA-2015-7#-00310440,5.0
IA-2015-7#-00110236,1.5
IA-2015-7#-00160738,4.476190476190476
IA-2015-7#-00340160,4.227272727272728
IA-2015-7#-00201175,3.4761904761904763
IA-2015-7#-00051728,3.090909090909091
IA-2015-7#-00160955,4.4
IA-2015-7#-00110571,3.0
IA-2015-7#-00350401,1.2857142857142858
IA-2015-7#-00230188,5.0
IA-2015-7#-00020739,5.0
IA-2015-7#-00340265,3.7142857142857135
IA-2015-7#-00250205,2.238095238095238
IA-2015-7#-00340173,4.2631578947368425
IA-2015-7#-00330313,5.0
IA-2015-7#-00140934,4.5
IA-2015-7#-00170070,4.0
IA-2015-7#-00340707,3.590909090909091
IA-2015-7#-00120332,3.857142857142857
IA-2015-7#-00200299,4.8
IA-2015-7#-00111043,3.0
IA-2015-7#-00201294,5.0
IA-2015-7#-00331069,2.619047619047619
IA-2015-7#-00350204,4.909090909090909
IA-2015-7#-00250255,5.0
IA-2015-7#-00310817,5.0
IA-2015-7#-00350220,3.409090909090909
IA-2015-7#-00311042,4.454545454545454
IA-2015-7#-00120280,5.0
IA-2015-7#-00120316,2.6818181818181817
IA-2015-7#-00030423,3.761904761904762
IA-2015-7#-00310389,4.0
IA-2015-7#-00051185,1.7272727272727273
IA-2015-7#-00191973,3.590909090909091
IA-2015-7#-00110631,3.1904761904761907
IA-2015-7#-00150117,3.5
IA-2015-7#-00170478,4.727272727272728
IA-2015-7#-00350267,4.545454545454546
IA-2015-7#-00201171,4.714285714285714
IA-2015-7#-00360396,2.35
IA-2015-7#-00360309,1.3333333333333333
IA-2015-7#-00360466,1.9523809523809523
IA-2015-7#-00020041,2.142857142857143
IA-2015-7#-00020936,4.8
IA-2015-7#-00020248,2.333333333333333
IA-2015-7#-00020663,4.2727272727272725
IA-2015-7#-00040308,4.904761904761905
IA-2015-7#-00360221,3.619047619047619
IA-2015-7#-00360399,2.2857142857142856
IA-2015-7#-00020840,3.857142857142857
IA-2015-7#-00020730,1.6
IA-2015-7#-00170461,4.818181818181818
IA-2015-7#-00120285,2.5
IA-2015-7#-00051308,1.9090909090909087
IA-2015-7#-00050160,2.863636363636364
IA-2015-7#-00360444,5.0
IA-2015-7#-00160011,4.227272727272728
IA-2015-7#-00360286,5.0
IA-2015-7#-00180052,4.5
IA-2015-7#-00160299,2.523809523809524
IA-2015-7#-00120664,1.7727272727272727
IA-2015-7#-00020557,2.4
IA-2015-7#-00190023,1.0
IA-2015-7#-00350623,3.090909090909091
IA-2015-7#-00350250,4.65
IA-2015-7#-00160232,4.954545454545454
IA-2015-7#-00120296,3.6818181818181817
IA-2015-7#-00111079,3.35
IA-2015-7#-00192235,1.181818181818182
IA-2015-7#-00201258,1.4
IA-2015-7#-00201222,3.8
IA-2015-7#-00170073,4.5
IA-2015-7#-00051208,4.636363636363637
IA-2015-7#-00360474,4.55
IA-2015-7#-00170553,4.318181818181818
IA-2015-7#-00340351,4.380952380952381
IA-2015-7#-00161144,4.380952380952381
IA-2015-7#-00280443,4.7
IA-2015-7#-00041151,3.4285714285714284
IA-2015-7#-00310218,4.681818181818182
IA-2015-7#-00050609,2.652173913043478
IA-2015-7#-00140475,5.0
IA-2015-7#-00261183,2.473684210526316
IA-2015-7#-00170060,5.0
IA-2015-7#-00170260,4.409090909090909
IA-2015-7#-00170215,5.0
IA-2015-7#-00170388,4.227272727272728
IA-2015-7#-00170434,4.727272727272728
IA-2015-7#-00191460,2.9545454545454546
IA-2015-7#-00160345,1.2
IA-2015-7#-00250381,5.0
IA-2015-7#-00310225,4.818181818181818
IA-2015-7#-00332292,5.0
IA-2015-7#-00040795,2.4285714285714284
IA-2015-7#-00200899,4.9
IA-2015-7#-00201417,5.0
IA-2015-7#-00310455,3.909090909090909
IA-2015-7#-00250199,5.0
IA-2015-7#-00332169,1.631578947368421
IA-2015-7#-00200385,5.0
IA-2015-7#-00161242,3.272727272727273
IA-2015-7#-00200440,1.6666666666666667
IA-2015-7#-00350631,3.35
IA-2015-7#-00190722,1.5454545454545454
IA-2015-7#-00170309,4.954545454545454
IA-2015-7#-00260841,3.7
IA-2015-7#-00130415,2.769230769230769
IA-2015-7#-00310327,4.318181818181818
IA-2015-7#-00250108,5.0
IA-2015-7#-00170468,4.227272727272728
IA-2015-7#-00010179,3.4285714285714284
IA-2015-7#-00310406,4.9
IA-2015-7#-00020540,3.4
IA-2015-7#-00350424,5.0
IA-2015-7#-00260064,4.9375
IA-2015-7#-00310053,4.818181818181818
IA-2015-7#-00311199,2.4545454545454546
IA-2015-7#-00130023,4.15
IA-2015-7#-00160191,3.1
IA-2015-7#-00250035,5.0
IA-2015-7#-00200244,3.4285714285714284
IA-2015-7#-00230385,5.0
IA-2015-7#-00200026,4.526315789473684
IA-2015-7#-00100102,1.181818181818182
IA-2015-7#-00310095,3.363636363636364
IA-2015-7#-00160756,4.190476190476191
IA-2015-7#-00350749,3.954545454545455
IA-2015-7#-00010183,4.809523809523809
IA-2015-7#-00170191,4.818181818181818
IA-2015-7#-00201284,3.6666666666666665
IA-2015-7#-00140716,4.380952380952381
IA-2015-7#-00280240,5.0
IA-2015-7#-00110582,5.0
IA-2015-7#-00110239,2.272727272727273
IA-2015-7#-00200108,3.95
IA-2015-7#-00170146,4.681818181818182
IA-2015-7#-00280467,3.772727272727273
IA-2015-7#-00360085,4.777777777777778
IA-2015-7#-00300278,5.0
IA-2015-7#-00340689,3.4545454545454546
IA-2015-7#-00200648,3.1739130434782608
IA-2015-7#-00360030,4.944444444444445
IA-2015-7#-00040458,4.15
IA-2015-7#-00350237,4.85
IA-2015-7#-00340393,4.681818181818182
IA-2015-7#-00140373,3.85
IA-2015-7#-00336179,5.0
IA-2015-7#-00110936,3.842105263157895
IA-2015-7#-00170251,4.136363636363637
IA-2015-7#-00310057,1.181818181818182
IA-2015-7#-00201416,4.666666666666667
IA-2015-7#-00170012,4.2727272727272725
IA-2015-7#-00161042,2.571428571428572
IA-2015-7#-00200448,4.363636363636363
IA-2015-7#-00151103,4.904761904761905
IA-2015-7#-00160747,4.9
IA-2015-7#-00170014,4.181818181818182
IA-2015-7#-00030759,4.9
IA-2015-7#-00140642,1.9523809523809523
IA-2015-7#-00170116,4.0
IA-2015-7#-00200500,4.333333333333333
IA-2015-7#-00191544,3.954545454545455
IA-2015-7#-00130555,4.428571428571429
IA-2015-7#-00332570,4.954545454545454
IA-2015-7#-00331946,4.809523809523809
IA-2015-7#-00170071,2.409090909090909
IA-2015-7#-00335861,1.5238095238095235
IA-2015-7#-00332064,5.0
IA-2015-7#-00200151,4.181818181818182
IA-2015-7#-00160279,2.772727272727273
IA-2015-7#-00340761,1.9090909090909087
IA-2015-7#-00160488,4.4
IA-2015-7#-00130158,5.0
IA-2015-7#-00340674,4.285714285714286
IA-2015-7#-00110120,5.0
IA-2015-7#-00160480,4.857142857142857
IA-2015-7#-00190481,4.909090909090909
IA-2015-7#-00130530,4.142857142857143
IA-2015-7#-00040255,4.85
IA-2015-7#-00030383,1.15
IA-2015-7#-00170104,4.409090909090909
IA-2015-7#-00310633,4.954545454545454
IA-2015-7#-00201367,3.2
IA-2015-7#-00200462,4.904761904761905
IA-2015-7#-00161130,2.85
IA-2015-7#-00170559,3.6818181818181817
IA-2015-7#-00161078,3.8
IA-2015-7#-00310642,5.0
IA-2015-7#-00030258,4.944444444444445
IA-2015-7#-00311010,4.777777777777778
IA-2015-7#-00310281,2.4
IA-2015-7#-00310780,5.0
IA-2015-7#-00310352,5.0
IA-2015-7#-00311190,3.863636363636364
IA-2015-7#-00311189,3.909090909090909
IA-2015-7#-00311311,4.227272727272728
IA-2015-7#-00190821,2.1818181818181817
IA-2015-7#-00020592,5.0
IA-2015-7#-00340331,4.315789473684211
IA-2015-7#-00310054,3.5
IA-2015-7#-00130065,2.7142857142857144
IA-2015-7#-00160360,4.8
IA-2015-7#-00161121,1.3636363636363635
IA-2015-7#-00250201,5.0
IA-2015-7#-00310650,4.6
IA-2015-7#-00250326,5.0
IA-2015-7#-00040159,3.3157894736842106
IA-2015-7#-00200842,4.666666666666667
IA-2015-7#-00340116,3.636363636363636
IA-2015-7#-00270091,2.4
IA-2015-7#-00170481,4.7727272727272725
IA-2015-7#-00310855,5.0
IA-2015-7#-00311153,4.904761904761905
IA-2015-7#-00311006,4.619047619047619
IA-2015-7#-00160785,4.454545454545454
IA-2015-7#-00160427,4.5
IA-2015-7#-00160645,4.142857142857143
IA-2015-7#-00340124,3.636363636363636
IA-2015-7#-00190700,5.0
IA-2015-7#-00201065,2.142857142857143
IA-2015-7#-00200770,4.789473684210527
IA-2015-7#-00010113,4.047619047619048
IA-2015-7#-00140639,4.0
IA-2015-7#-00200639,2.4285714285714284
IA-2015-7#-00261395,4.181818181818182
IA-2015-7#-00191638,1.0
IA-2015-7#-00170356,4.181818181818182
IA-2015-7#-00350744,4.636363636363637
IA-2015-7#-00340378,4.409090909090909
IA-2015-7#-00201230,4.6
IA-2015-7#-00350413,4.6
IA-2015-7#-00201016,4.0
IA-2015-7#-00161180,2.571428571428572
