DHSID_EA,most_relevant_sentences
KE-2014-7#-00000651,"The Kindaruma Hydroelectric Power Station, also Kindaruma Dam is an embankment dam with two gravity dam sections on the Tana River in Kenya"
KE-2014-7#-00001313,Lake Solai is a saltwater lake in the Rift Valley Province of Kenya. Geological conditions at the lake during the Little Ice Age have been the object of a scientific study. In 2014 there was a major contamination event at the lake
KE-2008-5#-00000002,Air pollution Syokimau has suffered significant air pollution from industrial activity
KE-2015-7Z-00000015,The failure to harness these abundant water resources for irrigated farm production is a draw back to District's economic development and food self security. There are a number of falls along Rwarai river with scenic beauty and area sight to behold. The river valleys in Mukurweini are home to many bird species a number of which are preserved at Wajee Nature Park
KE-2014-7#-00001095,Environmental issues Current issues Current issues that threaten the environment at the moment include water pollution from urban and industrial wastes; degradation of water quality from the increased use of pesticides and fertilisers; deforestation; water hyacinth infestation in Lake Victoria; soil erosion; desertification; and poaching
KE-2014-7#-00000033,"The Solar Ice Rink is an ice rink located in Nairobi, Kenya. Opened in 2005, the Solar Ice Rink is the largest rink in Africa,Kenyan skaters flock to East Africa's first ice rink : Mail & Guardian Online and the first rink in East Africa and Central Africa. Kenyan skaters chillin' on East Africa's first ice rink - Turkish Daily News Dec 27, 2005 The rink covers an area of ,http://www. BBC NEWS | World | Africa | East Africa's ice skating first References External links http://www"
KE-2014-7#-00000043,"There is still no reliable water supply, with over 200 prisoners hauling buckets of water around daily"
KE-2014-7#-00000615,Climate thumb|Dry river bed in Kitui County
KE-2015-7Z-00000097,The dam is expected to create a lake with a surface area of and holding of water
KE-2014-7#-00001397,"300px|thumb|Kiserian dam view from the horn of the dam Kiserian dam is a water catchment project by the government of Kenya located in Kiserian Town, Keekonyokie Ward"
KE-2014-7#-00001603,"At the time, the flank span on the southern side of the river had been concreted and the placing of concrete to the mid-span deck had been completed the weekend before while the northern span had not been cast"
KE-2014-7#-00000172,The horticular farming is conducted along the numerous river banks in the area
KE-2014-7#-00001287,"Nyahururu Falls is a waterfall on the Ewaso Ng'iro river in Central Rift Valley Kenya, a few kilometres from Lake Ol Bolossat, which drains from the Aberdare Range"
