DHSID_EA,relevance_score,most_relevant_sentences
BF-2003-4#-00000038,2.0,Education In 2011 the province had 214 primary schools and 20 secondary schools.
BF-2003-4#-00000214,2.0,"The central government has invested more development funds in the city; for example, the new West African Centre for Economic and Social Studies is a college intended as the first piece of development of the second university of the country. Education The École française André Malraux, a French international school, has maternelle (preschool) through collège served."
BF-2010-6#-00000560,4.0,";Government of France, MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES, AMBASSADE DE FRANCE AU BURKINA FASO, FICHE BURKINA FASO, (French) http://www.diplomatie.gouv.fr/fr/IMG/pdf/BURKINA_18-5-11__2_.pdfhttp://cns.bf/IMG/pdf/tableau_de_bord_2015_2016_de_l_enseignement_superieur.pdf  Faculties The university is divided into five faculties:;Government of France, MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES, AMBASSADE DE FRANCE AU BURKINA FASO, FICHE BURKINA FASO, (French) http://www.diplomatie.gouv.fr/fr/IMG/pdf/BURKINA_18-5-11__2_.pdfhttp://www.univ-koudougou.bf/index.php/menu-etablissement Faculty of Higher Education (Ecole Normale Supérieure (ENS)) Faculty of Economics and Management (UFR Sciences Economiques et Gestion) Faculty of Arts and Letters (UFR Lettres et Sciences Humaines) University Institute of Technology (Institut Universitaire de Technologie) Faculty of Science and Techniques (""UFR Sciences et Techniques"")  2008-2009 Student Strike During the 2008–2009 academic year there was a student strike at the university.University World News, BURKINA FASO: Lost academic year at Koudougou?, 30 August 2009 Issue No:36, http://www.universityworldnews.com/article.php?story=20090828105054980  See also Education in Burkina Faso  References  Category:Universities and colleges in Burkina Faso Category:Educational institutions established in 2005 Category:2005 establishments in Burkina Faso"
BF-2017-7Z-00000047,2.0,It serves levels maternelle (preschool) through lycée (senior high school). The secondary school is in the centre of the city while the primary school is in proximity to the hôtel Indépendance. References  External links  Lycée Saint-Exupéry de Ouagadougou   Lycée Saint-Exupéry de Ouagadougou  (Archive)  Category:Buildings and structures in Ouagadougou Category:International schools in Burkina Faso Category:French international schools in Africa Category:Educational institutions established in 1975
BF-1999-3#-00000068,1.0,"The Nazi Boni University (Université Nazi Boni)  is a university in Bobo-Dioulasso, Houet Province, Burkina Faso.http://www.afdevinfo.com/htmlreports/org/org_67409.html It is one of three public universities in Burkina Faso (the others are the University of Koudougou and the University of Ouagadougou). History  The university opened in 1995, under the name of Polytechnic University of Bobo-Dioulasso."
BF-2010-6#-00000560,4.0,";Government of France, MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES, AMBASSADE DE FRANCE AU BURKINA FASO, FICHE BURKINA FASO, (French) http://www.diplomatie.gouv.fr/fr/IMG/pdf/BURKINA_18-5-11__2_.pdfhttp://cns.bf/IMG/pdf/tableau_de_bord_2015_2016_de_l_enseignement_superieur.pdf  Faculties The university is divided into five faculties:;Government of France, MINISTERE DES AFFAIRES ETRANGERES ET EUROPEENNES, AMBASSADE DE FRANCE AU BURKINA FASO, FICHE BURKINA FASO, (French) http://www.diplomatie.gouv.fr/fr/IMG/pdf/BURKINA_18-5-11__2_.pdfhttp://www.univ-koudougou.bf/index.php/menu-etablissement Faculty of Higher Education (Ecole Normale Supérieure (ENS)) Faculty of Economics and Management (UFR Sciences Economiques et Gestion) Faculty of Arts and Letters (UFR Lettres et Sciences Humaines) University Institute of Technology (Institut Universitaire de Technologie) Faculty of Science and Techniques (""UFR Sciences et Techniques"")  2008-2009 Student Strike During the 2008–2009 academic year there was a student strike at the university.University World News, BURKINA FASO: Lost academic year at Koudougou?, 30 August 2009 Issue No:36, http://www.universityworldnews.com/article.php?story=20090828105054980  See also Education in Burkina Faso  References  Category:Universities and colleges in Burkina Faso Category:Educational institutions established in 2005 Category:2005 establishments in Burkina Faso"
BF-2017-7Z-00000047,2.0,It serves levels maternelle (preschool) through lycée (senior high school). The secondary school is in the centre of the city while the primary school is in proximity to the hôtel Indépendance. References  External links  Lycée Saint-Exupéry de Ouagadougou   Lycée Saint-Exupéry de Ouagadougou  (Archive)  Category:Buildings and structures in Ouagadougou Category:International schools in Burkina Faso Category:French international schools in Africa Category:Educational institutions established in 1975
BF-2003-4#-00000038,2.0,Education In 2011 the province had 214 primary schools and 20 secondary schools.
BF-2003-4#-00000214,2.0,"The central government has invested more development funds in the city; for example, the new West African Centre for Economic and Social Studies is a college intended as the first piece of development of the second university of the country. Education The École française André Malraux, a French international school, has maternelle (preschool) through collège served."
BF-2014-7#-00000043,5.0,"Furthermore, the program aims at improving gender parity rates in these schools, by providing girls with high attendance in the last two years of primary school with take-home rations of cereals as an incentive to households, encouraging them to send their girls to school."
