DHSID_EA,asset_index,sanitation_index,water_index,women_edu
PH-2017-7#-00000849,1.893912947930644,4.894736842105263,4.368421052631579,11.476190476190476
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2008-5#-00000001,1.843419573567505,4.166666666666667,5.0,9.428571428571429
PH-2003-4#-00000163,,,,10.535714285714286
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2008-5#-00000128,2.426800085957164,4.92,4.76,10.666666666666666
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2003-4#-00000002,,,,10.85
PH-2008-5#-00000402,-0.0287116821707697,2.6666666666666665,3.333333333333333,4.166666666666667
PH-2017-7#-00000204,2.054234843103103,4.782608695652174,4.391304347826087,10.61111111111111
PH-2017-7#-00000397,2.961713403160146,5.0,5.0,11.454545454545457
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2003-4#-00000652,,,,
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2008-5#-00000186,0.4252001865191274,4.307692307692308,2.923076923076923,7.4
PH-2017-7#-00000729,0.7918406771289087,3.8333333333333335,3.8333333333333335,10.294117647058824
PH-2003-4#-00000366,,,,9.08695652173913
PH-2003-4#-00000097,,,,10.19047619047619
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2017-7#-00000452,1.7606878994660804,4.260869565217392,4.043478260869565,9.444444444444445
PH-2017-7#-00000048,2.45574964552935,4.8,5.0,10.0
PH-2008-5#-00000402,-0.0287116821707697,2.6666666666666665,3.333333333333333,4.166666666666667
PH-2017-7#-00000435,2.216631589713957,5.0,4.217391304347826,11.375
PH-2003-4#-00000661,,,,10.583333333333334
